Mean Accuracy: 0.483874, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.483874, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.449591, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.483874, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.446576, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.468753, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.443566, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.467768, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.440500, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.460713, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.442526, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.461692, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.425379, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.447597, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.420364, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.443566, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.427395, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.445566, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.426395, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.440521, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.416304, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}
Mean Accuracy: 0.436480, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}
Mean Accuracy: 0.414294, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
Mean Accuracy: 0.431440, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
Mean Accuracy: 0.414289, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}
Mean Accuracy: 0.433460, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}
Mean Accuracy: 0.413284, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
Mean Accuracy: 0.433460, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
Mean Accuracy: 0.398178, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.398178, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.386097, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.398178, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.375981, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.390107, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.356845, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.380037, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.359855, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.376016, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.354825, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.376022, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.354804, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.366920, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.361860, Parameters: {'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}
