Mean Accuracy: 0.555505, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.555505, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.552449, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.555505, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.559484, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.568596, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.553393, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.552419, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.554413, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.562484, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.557439, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.567524, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.557418, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.564484, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.542333, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.557449, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.545358, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.557469, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.548399, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.556484, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
