Mean Accuracy: 0.880006, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.921359, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.932435, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.932460, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.931425, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.930430, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.868951, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.925379, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.929400, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.926390, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.930420, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.933455, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.877996, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.922354, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.932450, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.933445, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.928405, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.934460, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.864900, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.924359, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.926395, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.935465, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.927415, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.935465, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.868905, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.925379, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.932430, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.938496, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.934460, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.931445, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.861860, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.926384, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.932425, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.928405, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.933460, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.933460, Parameters: {'max_depth': 50, 'n_estimators': 250}
