Mean Accuracy: 0.932450, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.932450, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.935470, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.932450, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.928405, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.924385, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.935486, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.933455, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.929410, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.927379, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.931430, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.933440, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.913268, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.919309, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.918304, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.920324, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.912258, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.914268, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.907228, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.912263, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.905208, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}
Mean Accuracy: 0.909243, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}
Mean Accuracy: 0.900162, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
Mean Accuracy: 0.907218, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
Mean Accuracy: 0.899142, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}
Mean Accuracy: 0.902172, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}
Mean Accuracy: 0.894112, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
Mean Accuracy: 0.903172, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
Mean Accuracy: 0.939506, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.939506, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.923385, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.939506, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.920339, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.928410, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.930399, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.928400, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.918299, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.915268, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.922329, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.922324, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.913238, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.911238, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.915258, Parameters: {'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.913238, Parameters: {'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.902152, Parameters: {'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.908198, Parameters: {'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.905177, Parameters: {'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.909208, Parameters: {'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.900132, Parameters: {'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}
Mean Accuracy: 0.902142, Parameters: {'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}
Mean Accuracy: 0.904167, Parameters: {'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'uniform'}
Mean Accuracy: 0.906182, Parameters: {'metric': 'manhattan', 'n_neighbors': 12, 'weights': 'distance'}
Mean Accuracy: 0.903167, Parameters: {'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'}
Mean Accuracy: 0.904172, Parameters: {'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'distance'}
Mean Accuracy: 0.903157, Parameters: {'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'uniform'}
Mean Accuracy: 0.905172, Parameters: {'metric': 'manhattan', 'n_neighbors': 14, 'weights': 'distance'}
