Mean Accuracy: 0.924359, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.952596, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.955627, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.952586, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.955606, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.952581, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.919359, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.950581, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.954606, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.946546, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.950576, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.951591, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.913289, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.952581, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.957621, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.957652, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.954606, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.956627, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.925379, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.947551, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.953611, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.951576, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.954601, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.958637, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.934460, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.949561, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.952586, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.954606, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.956632, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.956616, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.925390, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.953606, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.954601, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.957632, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.956627, Parameters: {'max_depth': 50, 'n_estimators': 250}
