Mean Accuracy: 0.902213, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.945541, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.946576, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.945546, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.943521, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.943521, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.911263, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.941500, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.944526, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.941511, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.942516, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.945546, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.896147, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.945551, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.948556, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.939480, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.942511, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.944536, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.918314, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.938480, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.944541, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.939490, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.947556, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.944536, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.911289, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.933455, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.945536, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.947551, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.940495, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.942516, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.900168, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.944531, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.943521, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.944531, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.942505, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.943521, Parameters: {'max_depth': 50, 'n_estimators': 250}
