Mean Accuracy: 0.882042, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.928400, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.931410, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.936455, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.932430, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.937470, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.898147, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.917309, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.928389, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.926384, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.934445, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.930415, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.880021, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.926374, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.932425, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.935465, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.932435, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.935455, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.876986, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.935450, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.931404, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.935465, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.931430, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.939485, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.878986, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.936485, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.940500, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.928405, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.930405, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.936470, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.891112, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.919339, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.931420, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.930410, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.934435, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.937470, Parameters: {'max_depth': 50, 'n_estimators': 250}
