Mean Accuracy: 0.920364, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.956616, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.955622, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.958652, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.958652, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.960662, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.921344, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.952591, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.951591, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.961657, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.955627, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.961677, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.930410, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.954601, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.957637, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.954622, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.939470, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.950591, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.961662, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.954611, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.955632, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.932440, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.957637, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.960662, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.956632, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.957642, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.959652, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.936460, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.957647, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.952606, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.956632, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.953611, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.962677, Parameters: {'max_depth': 50, 'n_estimators': 250}
