Mean Accuracy: 0.906223, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.944541, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.939506, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.945541, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.945526, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.945541, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.913304, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.936475, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.943541, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.945546, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.942521, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.946551, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.903213, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.942526, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.946551, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.945531, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.942516, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.943526, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.906213, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.942526, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.938475, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.945541, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.938475, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.944531, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.902203, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.940506, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.944531, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.941506, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.947546, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.949576, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.917304, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.938470, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.939485, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.949576, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.943531, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.945541, Parameters: {'max_depth': 50, 'n_estimators': 250}
