Mean Accuracy: 0.924354, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.952606, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.954622, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.960657, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.957627, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.952591, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.933430, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.949556, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.958637, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.957632, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.922390, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.953586, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.952591, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.954611, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.956616, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.961667, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.934450, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.956606, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.952591, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.953606, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.958637, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.929445, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.950576, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.956621, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.959652, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.956621, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.956621, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.925379, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.952596, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.956632, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.958632, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.954617, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.958637, Parameters: {'max_depth': 50, 'n_estimators': 250}
