Mean Accuracy: 0.945551, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.945551, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.949576, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.945551, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.939470, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.938470, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.945526, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.944510, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.936455, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.940480, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.939480, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.940475, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.933415, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.934425, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.935440, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.940480, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.928389, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.931410, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.928405, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.933435, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.919319, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}
Mean Accuracy: 0.924354, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}
Mean Accuracy: 0.918319, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
Mean Accuracy: 0.922339, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
Mean Accuracy: 0.914284, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}
Mean Accuracy: 0.921329, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}
Mean Accuracy: 0.914268, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
Mean Accuracy: 0.921324, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
Mean Accuracy: 0.954637, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.954637, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.954617, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.954637, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}
