Mean Accuracy: 0.904228, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.939495, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.941511, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.940500, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.947556, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.942521, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.916283, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.939490, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.944531, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.947556, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.946561, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.945536, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.916324, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.936470, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.943536, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.944526, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.941511, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.944541, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.915319, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.939501, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.946551, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.949591, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.948566, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.946551, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.912279, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.937485, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.942526, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.946551, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.943526, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.947556, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.914273, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.934455, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.942526, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.947556, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.947561, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.947556, Parameters: {'max_depth': 50, 'n_estimators': 250}
