Mean Accuracy: 0.926395, Parameters: {'max_depth': None, 'n_estimators': 10}
Mean Accuracy: 0.955616, Parameters: {'max_depth': None, 'n_estimators': 50}
Mean Accuracy: 0.962672, Parameters: {'max_depth': None, 'n_estimators': 100}
Mean Accuracy: 0.958637, Parameters: {'max_depth': None, 'n_estimators': 150}
Mean Accuracy: 0.960652, Parameters: {'max_depth': None, 'n_estimators': 200}
Mean Accuracy: 0.960657, Parameters: {'max_depth': None, 'n_estimators': 250}
Mean Accuracy: 0.932430, Parameters: {'max_depth': 10, 'n_estimators': 10}
Mean Accuracy: 0.945536, Parameters: {'max_depth': 10, 'n_estimators': 50}
Mean Accuracy: 0.953617, Parameters: {'max_depth': 10, 'n_estimators': 100}
Mean Accuracy: 0.955611, Parameters: {'max_depth': 10, 'n_estimators': 150}
Mean Accuracy: 0.955627, Parameters: {'max_depth': 10, 'n_estimators': 200}
Mean Accuracy: 0.954611, Parameters: {'max_depth': 10, 'n_estimators': 250}
Mean Accuracy: 0.928425, Parameters: {'max_depth': 20, 'n_estimators': 10}
Mean Accuracy: 0.958647, Parameters: {'max_depth': 20, 'n_estimators': 50}
Mean Accuracy: 0.955616, Parameters: {'max_depth': 20, 'n_estimators': 100}
Mean Accuracy: 0.955627, Parameters: {'max_depth': 20, 'n_estimators': 150}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 20, 'n_estimators': 200}
Mean Accuracy: 0.957632, Parameters: {'max_depth': 20, 'n_estimators': 250}
Mean Accuracy: 0.931440, Parameters: {'max_depth': 30, 'n_estimators': 10}
Mean Accuracy: 0.949581, Parameters: {'max_depth': 30, 'n_estimators': 50}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 30, 'n_estimators': 100}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 30, 'n_estimators': 150}
Mean Accuracy: 0.959642, Parameters: {'max_depth': 30, 'n_estimators': 200}
Mean Accuracy: 0.961652, Parameters: {'max_depth': 30, 'n_estimators': 250}
Mean Accuracy: 0.926425, Parameters: {'max_depth': 40, 'n_estimators': 10}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 40, 'n_estimators': 50}
Mean Accuracy: 0.952601, Parameters: {'max_depth': 40, 'n_estimators': 100}
Mean Accuracy: 0.956637, Parameters: {'max_depth': 40, 'n_estimators': 150}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 40, 'n_estimators': 200}
Mean Accuracy: 0.959647, Parameters: {'max_depth': 40, 'n_estimators': 250}
Mean Accuracy: 0.934460, Parameters: {'max_depth': 50, 'n_estimators': 10}
Mean Accuracy: 0.956621, Parameters: {'max_depth': 50, 'n_estimators': 50}
Mean Accuracy: 0.955622, Parameters: {'max_depth': 50, 'n_estimators': 100}
Mean Accuracy: 0.956637, Parameters: {'max_depth': 50, 'n_estimators': 150}
Mean Accuracy: 0.957632, Parameters: {'max_depth': 50, 'n_estimators': 200}
Mean Accuracy: 0.958642, Parameters: {'max_depth': 50, 'n_estimators': 250}
