Mean Accuracy: 0.934445, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.934445, Parameters: {'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.931425, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.934445, Parameters: {'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.915278, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.914273, Parameters: {'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.929420, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.922349, Parameters: {'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.916304, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.917299, Parameters: {'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.912273, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.919314, Parameters: {'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.903193, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.908223, Parameters: {'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.910243, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.908218, Parameters: {'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.894102, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.896117, Parameters: {'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.890072, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.896122, Parameters: {'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.891082, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}
Mean Accuracy: 0.897137, Parameters: {'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}
Mean Accuracy: 0.888062, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}
Mean Accuracy: 0.895122, Parameters: {'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}
Mean Accuracy: 0.884031, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}
Mean Accuracy: 0.892102, Parameters: {'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}
Mean Accuracy: 0.876966, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}
Mean Accuracy: 0.886041, Parameters: {'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'distance'}
Mean Accuracy: 0.942526, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}
Mean Accuracy: 0.942526, Parameters: {'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'distance'}
Mean Accuracy: 0.935455, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'uniform'}
Mean Accuracy: 0.942526, Parameters: {'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}
Mean Accuracy: 0.923339, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}
Mean Accuracy: 0.929389, Parameters: {'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}
Mean Accuracy: 0.931410, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'uniform'}
Mean Accuracy: 0.930405, Parameters: {'metric': 'manhattan', 'n_neighbors': 4, 'weights': 'distance'}
Mean Accuracy: 0.922339, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}
Mean Accuracy: 0.924349, Parameters: {'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}
Mean Accuracy: 0.936445, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}
Mean Accuracy: 0.932410, Parameters: {'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}
Mean Accuracy: 0.916268, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}
Mean Accuracy: 0.921314, Parameters: {'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}
Mean Accuracy: 0.923334, Parameters: {'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'uniform'}
Mean Accuracy: 0.924334, Parameters: {'metric': 'manhattan', 'n_neighbors': 8, 'weights': 'distance'}
Mean Accuracy: 0.915263, Parameters: {'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}
Mean Accuracy: 0.918283, Parameters: {'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}
Mean Accuracy: 0.911228, Parameters: {'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}
Mean Accuracy: 0.918278, Parameters: {'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}
Mean Accuracy: 0.909208, Parameters: {'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}
